车型,厂商,销量
日产轩逸,东风日产,34467
大众朗逸,上汽大众,30449
大众速腾,一汽大众,26367
丰田卡罗拉,一汽丰田,22869
大众迈腾,一汽大众,20312
大众捷达,一汽大众,20126
别克英朗,上汽通用,20115
吉利帝豪,吉利汽车,19941
雪佛兰科沃兹,上汽通用,19448
现代领动,北京现代,19300
大众桑塔纳,上汽大众,19201
本田思域,东风本田,18972
大众宝来,一汽大众,18020
福特福睿斯,长安福特,16227
丰田雷凌,广汽丰田,15575
别克威朗,上汽通用,14901
雪佛兰赛欧,上汽通用,14051
大众帕萨特,上汽大众,13561
现代名图,北京现代,13547
吉利帝豪GL,吉利汽车,12749
大众新POLO,上汽大众,12520
吉利远景,吉利汽车,12417
奔驰E级,北京奔驰,12267
奥迪A6L,一汽大众,11854
马自达3 昂克赛拉,长安马自达,11765
奔驰C级,北京奔驰,11626
丰田凯美瑞,广汽丰田,11583
宝马5系,华晨宝马,11523
大众高尔夫,一汽大众,11426
宝马3系,华晨宝马,11271
奇瑞艾瑞泽5,奇瑞汽车,11135
奥迪A4L,一汽大众,11101
大众凌渡,上汽大众,11100
雪佛兰迈锐宝,上汽通用,11007
本田飞度,广汽本田,10820
宝骏310,上汽通用五菱,10372
荣威i6,上汽集团,9748
长安逸动,长安汽车,9663
斯柯达明锐,上汽斯柯达,8734
本田凌派,广汽本田,8675
日产天籁,东风日产,8410
名爵6,上汽集团,8006
起亚K3,东风悦达起亚,7983
别克君威,上汽通用别克,7650
北汽新能源EC系列,北汽新能源,7471
雪佛兰科鲁兹,上汽通用,7119
斯柯达昕锐,上汽斯柯达,7067
奥迪A3,一汽大众,6957
起亚KX CROSS,东风悦达起亚,6902
别克君越,上汽通用,6561
现代悦动,北京现代,6436
启辰D60,东风启辰,5602
日产蓝鸟,东风日产,5427
本田锋范,广汽本田,5420
福特蒙迪欧,长安福特,5284
凯迪拉克ATS-L,上汽通用,5262
凯迪拉克XTS,上汽通用,5205
广汽传祺GA4,广汽乘用车,5000
日产骐达,东风日产,4870
雪铁龙爱丽舍,东风雪铁龙,4770
比亚迪e5,比亚迪,4294
丰田威驰,一汽丰田,4198
知豆D2,知豆电动车,4152
比亚迪秦,比亚迪,4134
大众朗行,上汽大众,4107
本田杰德,东风本田,4059
比亚迪F3,比亚迪,4031
福特福克斯,长安福特,4014
马自达6 阿特兹 ,一汽马自达,3876
斯柯达速派,上汽斯柯达,3839
江淮IEV,江淮汽车,3803
奇瑞eQ,奇瑞新能源,3799
起亚焕驰,东风悦达起亚,3772
宝骏E100,上汽通用五菱,3760
长安睿骋CC,长安汽车,3726
大众蔚领,一汽大众,3480
丰田致炫,广汽丰田,3456
标致308,东风标致,3454
本田雅阁,广汽本田,3408
丰田YARiS L 致享,广汽丰田,3404
吉利博瑞,吉利汽车,3323
